Bd_Ch_EVBat_sp_out,Bd_DisCh_EVBat,Bd_E_HW,Bd_Fl_HP,Bd_FracCh_Bat,Bd_FracCh_EVBat,Bd_Frac_Vent_sp_out,Bd_Pw_Bat_sp_out,Bd_T_HP_return,Bd_T_HP_sp_out,Bd_T_HP_supply,Ext_Irr,Ext_P,Ext_RH,Ext_T,Fa_ECh_Bat,Fa_ECh_EVBat,Fa_EDCh_Bat,Fa_EDCh_EVBat,Fa_E_All,Fa_E_Appl,Fa_E_HVAC,Fa_E_Light,Fa_E_self,Fa_Pw_All,Fa_Pw_Prod,Fa_Stat_EV,HVAC_Pw_HP,HVAC_onoff_HP,P1_FlFrac_HW,P1_T_Tank,P1_T_Tank_sp_out,P1_T_Thermostat_sp_out,P2_FlFrac_HW,P2_T_Tank,P2_T_Tank_sp_out,P2_T_Thermostat_sp_out,P3_FlFrac_HW,P3_T_Tank,P3_T_Tank_sp_out,P3_T_Thermostat_sp_out,P4_FlFrac_HW,P4_T_Tank,P4_T_Tank_sp_out,P4_T_Thermostat_sp_out,Z01_E_Appl,Z01_RH,Z01_T,Z02_E_Appl,Z02_RH,Z02_T,Z03_E_Appl,Z03_RH,Z03_T,Z04_E_Appl,Z04_RH,Z04_T,Z05_E_Appl,Z05_RH,Z05_T,Z06_E_Appl,Z06_RH,Z06_T,Z07_E_Appl,Z07_RH,Z07_T,Z08_E_Appl,Z08_RH,Z08_T
0,0,14.32200756245153,0,0,0,0.5,-0.2,52.92996876453761,35,52.92996876453761,0,102500,78,6.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.39071419507349,30,16,0,52.39071419507349,27,17.5,0,52.39071419507349,32,16.5,0,52.39071419507349,26,17,0,36.76359904148336,18.70665015456805,0,39.73157454572662,17.81274969534156,0,36.64964548670381,18.77722855778913,0,39.95641417722439,18.25502091022583,0,37.25748714223797,18.50283793,0,38.86633379675642,18.46312132360255,0,37.14457870652561,18.55559345846511,0,39.65710676,18.11313932
0,0,14.31502870690427,0,0,0,0.5,-0.2,52.92996876453761,35,52.92996876453761,0,102500,76.75,6.430000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.37531264849554,30,16,0,52.37531264849554,27,17.5,0,52.37531264849554,32,16.5,0,52.37531264849554,26,17,0,36.73126967904757,18.61493092154111,0,39.74225463189509,17.69702803289333,0,36.61160780803971,18.68592994534677,0,39.91803638951523,18.15843488592492,0,37.20647137610082,18.4182504,0,38.85511539636921,18.35679680925809,0,37.11898642713322,18.45966636233829,0,39.64093585177545,18.00761123076679
0,0,14.30805341473168,0,0,0,0.5,-0.2,52.92996876453761,35,52.92996876453761,0,102500,75.5,6.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.35991858386887,30,16,0,52.35991858386887,27,17.5,0,52.35991858386887,32,16.5,0,52.35991858386887,26,17,0,36.68435774448262,18.52647126950802,0,39.73313363,17.58563016512547,0,36.55925601,18.59800547667469,0,39.86134202992189,18.06537379,0,37.14067511216666,18.33701624376062,0,38.82500398,18.25434487388734,0,37.07858840109304,18.36715615,0,39.60516782639652,17.90624548075203
0,0,14.30108168,0,0,0,0.5,-0.2,52.92996876453761,35,52.92996876453761,0,102500,74.25,6.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.34453199737283,30,16,0,52.34453199737283,27,17.5,0,52.34453199737283,32,16.5,0,52.34453199737283,26,17,0,36.62267099,18.44126231533452,0,39.70495576531141,17.47823094299889,0,36.49237181451458,18.51343985750197,0,39.78616377064972,17.97596052,0,37.06001196352688,18.25908053393159,0,38.77612093005462,18.15575305394738,0,37.02309766240043,18.27807436207309,0,39.54970431012305,17.80910509612095
0,0,14.29411351254377,0,0,0,0.5,-0.2,52.92996876453761,35,52.92996876453761,0,102500,73,6.760000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.32915288520431,30,16,0,52.32915288520431,27,17.5,0,52.32915288520431,32,16.5,0,52.32915288520431,26,17,0,36.54602516017735,18.35929640689641,0,39.65840711564943,17.37452323314677,0,36.41080198530767,18.43219429413164,0,39.69249622636222,17.89024583743232,0,36.96443608608752,18.18437668230412,0,38.70844945460217,18.06105821692029,0,36.95236026507865,18.19238377541939,0,39.47466611530879,17.71615848258331
0,0,14.28714889855457,0,0,0,0.5,-0.2,52.92996876453761,35,52.92996876453761,0,102500,71.75,6.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.31378124367217,30,16,0,52.31378124367217,27,17.5,0,52.31378124367217,32,16.5,0,52.31378124367217,26,17,0,36.45428763025669,18.28054811037136,0,39.59341596998168,17.27449814860031,0,36.31444647057535,18.35421659615765,0,39.58049475,17.80821144052427,0,36.85393261693454,18.11283135434718,0,38.62203674099679,17.97026707019758,0,36.86633919565413,18.11000466608076,0,39.38032830369546,17.62730733590302
0,0,14.28018784,0,0,0,0.5,-0.2,52.92996876453761,35,52.92996876453761,0,102500,70.5,6.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.29841706896116,30,16,0,52.29841706896116,27,17.5,0,52.29841706896116,32,16.5,0,52.29841706896116,26,17,0,36.34739000651154,18.20497377475391,0,39.50973409663313,17.17821500809285,0,36.20324646413276,18.27944550429946,0,39.45039907084404,17.72979889901007,0,36.72851679146707,18.04436685329852,0,38.51700845654361,17.88334526095115,0,36.76510632119788,18.03081662318703,0,39.26704793,17.54241824073086
0,0,14.27323033502006,0,0,0,0.5,-0.2,52.92996876453761,35,52.92996876453761,0,102500,69.25,7.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.28306035720048,30,16,0,52.28306035720048,27,17.5,0,52.28306035720048,32,16.5,0,52.28306035720048,26,17,0,36.22529902023444,18.13251647,0,39.40723247850713,17.08568448319156,0,36.07716596435059,18.20781291,0,39.30247593095294,17.65493039187531,0,36.58822188410421,17.97890242195517,0,38.39355852256932,17.80022849217753,0,36.64886228201769,17.95464916451975,0,39.13521103420303,17.46133927917752
0,0,14.26627638147475,0,0,0,0.5,-0.2,52.92996876453761,35,52.92996876453761,0,102500,68,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.26771110462822,30,16,0,52.26771110462822,27,17.5,0,52.26771110462822,32,16.5,0,52.26771110462822,26,17,0,36.08801783544924,18.06311056000189,0,39.28592485863931,16.99686510934383,0,35.93620361506826,18.13924543525048,0,39.13700772093085,17.58351885918932,0,36.43309373785389,17.91635518307289,0,38.25191507955653,17.72083457042999,0,36.51755826552589,17.88144759569114,0,38.98525358656411,17.38389652324967
0,0,14.25932597744358,0,0,0,0.5,-0.2,52.92996876453761,35,52.92996876453761,0,102500,68.19999999999999,7.195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.25236930748876,30,16,0,52.25236930748876,27,17.5,0,52.25236930748876,32,16.5,0,52.25236930748876,26,17,0,35.96201436891661,17.99615863614725,0,39.18036464305929,16.91103766518372,0,35.80670016134027,18.07313873656636,0,38.98752796,17.51481911258649,0,36.28986476017628,17.85611474152216,0,38.12531576731686,17.64441643223811,0,36.39782735192207,17.81065814969978,0,38.85134647179687,17.30922946889377
0,0,14.25237912,0,0,0,0.5,-0.2,52.92996876453761,35,52.92996876453761,0,102500,68.4,7.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.23703496200367,30,16,0,52.23703496200367,27,17.5,0,52.23703496200367,32,16.5,0,52.23703496200367,26,17,0,35.86258283769367,17.93126822692598,0,39.11004957255908,16.82772425533046,0,35.70386551826952,18.00909469851288,0,38.87285338,17.44834194796279,0,36.17394841704441,17.79777861,0,38.03246445462534,17.57048089540384,0,36.30505162373761,17.74192455661979,0,38.75252843675418,17.23684960311327
0,0,14.24543581007523,0,0,0,0.5,-0.2,52.92996876453761,35,52.92996876453761,0,102500,68.6,7.185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.22170806437187,30,16,0,52.22170806437187,27,17.5,0,52.22170806437187,32,16.5,0,52.22170806437187,26,17,0,35.79283979904989,17.86827443087925,0,39.07824177975782,16.74672299743043,0,35.63078700217665,17.94694433245932,0,38.79606372881876,17.38388240761977,0,36.08846273150568,17.74117487672581,0,37.97647055575079,17.49881858895008,0,36.24234268334371,17.67510590944263,0,38.69185445877714,17.1665813
0,0,14.23849604278862,0,0,0,0.5,-0.2,52.92996876453761,35,52.92996876453761,0,102500,68.80000000000001,7.180000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.20638861085722,30,16,0,52.20638861085722,27,17.5,0,52.20638861085722,32,16.5,0,52.20638861085722,26,17,0,35.75031439316179,17.80711898481903,0,39.08088041123271,16.66796174,0,35.58498991302348,17.88662635,0,38.75315619035906,17.32136887013667,0,36.03089060619195,17.68624030974582,0,37.95342285968926,17.42935302453013,0,36.20717298853472,17.61015973482644,0,38.66523615057951,17.09837736779716
0,0,14.23155981715719,0,0,0,0.5,-0.2,52.92996876453761,35,52.92996876453761,0,102500,69,7.175000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.19107659765996,30,16,0,52.19107659765996,27,17.5,0,52.19107659765996,32,16.5,0,52.19107659765996,26,17,0,35.73140399,17.74776911102638,0,39.11257803177836,16.59139888410789,0,35.56287137674529,17.82810556,0,38.73886795972162,17.26076173,0,35.99757881882048,17.63293697,0,37.95814549066273,17.36203913382772,0,36.19588070296278,17.54706475246174,0,38.66732166174594,17.03221236461043
0,0,14.22462713120247,0,0,0,0.5,-0.2,52.92996876453761,35,52.92996876453761,0,102500,69.19999999999999,7.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.17577202092527,30,16,0,52.17577202092527,27,17.5,0,52.17577202092527,32,16.5,0,52.17577202092527,26,17,0,35.73298248827064,17.69018807391782,0,39.16876486537165,16.51698753114219,0,35.56130536028471,17.77134315637849,0,38.74874311,17.20201664381317,0,35.98534558342428,17.58122996267126,0,37.98625434519085,17.29682654677077,0,36.20528768050253,17.48579334430616,0,38.69359005934374,16.96804930347027
0,0,14.21769798292126,0,0,0,0.5,-0.2,52.92996876453761,35,52.92996876453761,0,102500,69.4,7.165000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.16047487690562,30,16,0,52.16047487690562,27,17.5,0,52.16047487690562,32,16.5,0,52.16047487690562,26,17,0,35.75258123099032,17.63433141033359,0,39.24588879825551,16.44467106159891,0,35.57782026449222,17.71629277785956,0,38.77931574063377,17.14507975556455,0,35.99167226923925,17.53107804175813,0,38.03435257579157,17.23365491683133,0,36.23288537103942,17.42630878432673,0,38.74053085927919,16.90583827658046
0,0,14.21077237035963,0,0,0,0.5,-0.2,52.92996876453761,35,52.92996876453761,0,102500,69.6,7.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.14518516188436,30,16,0,52.14518516188436,27,17.5,0,52.14518516188436,32,16.5,0,52.14518516188436,26,17,0,35.78817742573941,17.58014981588249,0,39.34110260088136,16.37438733518101,0,35.61039873637305,17.66290222209936,0,38.82781638642018,17.08989130678468,0,36.01449131827582,17.48243720205864,0,38.09971091161215,17.17245780890971,0,36.27661470685779,17.36856884508071,0,38.80533115258007,16.84552216443927
0,0,14.20385029157738,0,0,0,0.5,-0.2,52.92996876453761,35,52.92996876453761,0,102500,69.80000000000001,7.155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.12990287209563,30,16,0,52.12990287209563,27,17.5,0,52.12990287209563,32,16.5,0,52.12990287209563,26,17,0,35.83802068293473,17.52759264817232,0,39.45199050041178,16.30607217808904,0,35.65727268179027,17.61112417344862,0,38.89189443579414,17.03638772765534,0,36.05201083750451,17.43526199136922,0,38.18003469944902,17.11316540782671,0,36.33468648247757,17.31252872964371,0,38.88561171,16.78704036
